unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1667347200,2022-11-02 00:00:00,BTC/USDT,20486,20490,20406,20461,1.33486108,27312.59255788
1667343600,2022-11-01 23:00:00,BTC/USDT,20477,20498,20471,20482,2.28428934,46786.81426188
1667340000,2022-11-01 22:00:00,BTC/USDT,20485,20485,20433,20463,0.25320452,5181.32409276
1667336400,2022-11-01 21:00:00,BTC/USDT,20467,20481,20467,20481,0.06425294,1315.9644641399998
1667332800,2022-11-01 20:00:00,BTC/USDT,20444,20482,20442,20482,0.23362089,4785.02306898
1667329200,2022-11-01 19:00:00,BTC/USDT,20492,20492,20435,20451,0.20025413,4095.39721263
1667325600,2022-11-01 18:00:00,BTC/USDT,20449,20463,20423,20463,0.17900911,3663.06341793
1667322000,2022-11-01 17:00:00,BTC/USDT,20415,20452,20414,20420,0.47187868,9635.7626456
1667318400,2022-11-01 16:00:00,BTC/USDT,20449,20480,20390,20402,1.62834363,33221.46673926
1667314800,2022-11-01 15:00:00,BTC/USDT,20403,20463,20403,20448,0.90003550,18403.925904
1667311200,2022-11-01 14:00:00,BTC/USDT,20390,20475,20360,20398,0.66375646,13539.30427108
1667307600,2022-11-01 13:00:00,BTC/USDT,20535,20546,20352,20426,1.54380835,31533.8293571
1667304000,2022-11-01 12:00:00,BTC/USDT,20530,20566,20477,20548,0.59890821,12306.365899080001
1667300400,2022-11-01 11:00:00,BTC/USDT,20618,20618,20492,20531,0.88889532,18249.90981492
1667296800,2022-11-01 10:00:00,BTC/USDT,20592,20650,20575,20618,0.73874024,15231.346268320001
1667293200,2022-11-01 09:00:00,BTC/USDT,20589,20672,20562,20598,1.94817754,40128.56096892
1667289600,2022-11-01 08:00:00,BTC/USDT,20594,20641,20581,20581,0.73282408,15082.25239048
1667286000,2022-11-01 07:00:00,BTC/USDT,20630,20645,20558,20602,0.64775278,13345.00277356
1667282400,2022-11-01 06:00:00,BTC/USDT,20538,20658,20525,20622,0.90246675,18610.6693185
1667278800,2022-11-01 05:00:00,BTC/USDT,20502,20553,20492,20526,1.20817783,24799.05813858
1667275200,2022-11-01 04:00:00,BTC/USDT,20488,20518,20476,20500,2.08593569,42761.681645
1667271600,2022-11-01 03:00:00,BTC/USDT,20572,20572,20483,20501,0.21365156,4380.07063156
1667268000,2022-11-01 02:00:00,BTC/USDT,20523,20581,20494,20576,2.14540433,44143.83949408
1667264400,2022-11-01 01:00:00,BTC/USDT,20465,20549,20465,20502,0.37295082,7646.23771164
1667260800,2022-11-01 00:00:00,BTC/USDT,20484,20500,20447,20447,0.58929135,12049.24023345
1667257200,2022-10-31 23:00:00,BTC/USDT,20484,20504,20471,20497,0.23068158,4728.28034526
1667253600,2022-10-31 22:00:00,BTC/USDT,20436,20490,20409,20481,0.32155170,6585.7003677
1667250000,2022-10-31 21:00:00,BTC/USDT,20408,20433,20404,20433,0.56806918,11607.35755494
1667246400,2022-10-31 20:00:00,BTC/USDT,20384,20407,20384,20407,0.01174199,239.61878993000002
1667242800,2022-10-31 19:00:00,BTC/USDT,20432,20432,20380,20387,0.16384243,3340.25562041
1667239200,2022-10-31 18:00:00,BTC/USDT,20375,20465,20365,20443,0.74365141,15202.46577463
1667235600,2022-10-31 17:00:00,BTC/USDT,20368,20415,20363,20363,0.39034906,7948.6779087800005
1667232000,2022-10-31 16:00:00,BTC/USDT,20397,20515,20349,20365,0.72562360,14777.324614000001
1667228400,2022-10-31 15:00:00,BTC/USDT,20344,20458,20303,20386,2.15398665,43911.1718469
1667224800,2022-10-31 14:00:00,BTC/USDT,20317,20425,20266,20335,4.77474327,97094.40439545001
1667221200,2022-10-31 13:00:00,BTC/USDT,20690,20754,20312,20329,4.51119914,91708.16731706001
1667217600,2022-10-31 12:00:00,BTC/USDT,20736,20744,20653,20691,2.84760343,58919.76257013
1667214000,2022-10-31 11:00:00,BTC/USDT,20752,20816,20722,20724,0.81542781,16898.925934439998
1667210400,2022-10-31 10:00:00,BTC/USDT,20716,20832,20699,20754,0.93935138,19495.298540519998
1667206800,2022-10-31 09:00:00,BTC/USDT,20464,20735,20464,20709,1.41751245,29355.26532705
1667203200,2022-10-31 08:00:00,BTC/USDT,20487,20487,20458,20467,0.19230382,3935.8822839399995
1667199600,2022-10-31 07:00:00,BTC/USDT,20494,20511,20489,20511,0.18750765,3845.96940915
1667196000,2022-10-31 06:00:00,BTC/USDT,20524,20534,20469,20476,0.26176370,5359.8735212
1667192400,2022-10-31 05:00:00,BTC/USDT,20577,20577,20538,20538,0.08320888,1708.94397744
1667188800,2022-10-31 04:00:00,BTC/USDT,20532,20532,20532,20532,0.00000000,0.0
1667185200,2022-10-31 03:00:00,BTC/USDT,20485,20532,20485,20532,0.04622629,949.11818628
1667181600,2022-10-31 02:00:00,BTC/USDT,20455,20485,20424,20447,0.68674977,14041.97254719
1667178000,2022-10-31 01:00:00,BTC/USDT,20568,20568,20475,20487,3.18092542,65167.619079539996
1667174400,2022-10-31 00:00:00,BTC/USDT,20642,20653,20538,20538,0.39652394,8143.80867972
1667170800,2022-10-30 23:00:00,BTC/USDT,20574,20595,20574,20595,0.13106640,2699.312508
1667167200,2022-10-30 22:00:00,BTC/USDT,20642,20642,20519,20568,1.58906089,32683.80438552
1667163600,2022-10-30 21:00:00,BTC/USDT,20692,20695,20670,20670,0.22367200,4623.3002400000005
1667160000,2022-10-30 20:00:00,BTC/USDT,20682,20699,20682,20699,0.05025252,1040.17691148
1667156400,2022-10-30 19:00:00,BTC/USDT,20669,20681,20614,20644,3.32999766,68744.47169304
1667152800,2022-10-30 18:00:00,BTC/USDT,20646,20685,20646,20681,0.26091041,5395.88818921
1667149200,2022-10-30 17:00:00,BTC/USDT,20618,20670,20592,20670,1.40484823,29038.2129141
1667145600,2022-10-30 16:00:00,BTC/USDT,20678,20691,20570,20579,3.44353312,70864.46807648
1667142000,2022-10-30 15:00:00,BTC/USDT,20734,20736,20662,20670,1.63594124,33814.9054308
1667138400,2022-10-30 14:00:00,BTC/USDT,20656,20738,20648,20738,1.12342138,23297.512578439997
1667134800,2022-10-30 13:00:00,BTC/USDT,20730,20730,20632,20648,1.27180704,26260.27176192
1667131200,2022-10-30 12:00:00,BTC/USDT,20762,20775,20668,20740,0.42421788,8798.2788312
1667127600,2022-10-30 11:00:00,BTC/USDT,20718,20773,20695,20773,0.24602518,5110.68106414
1667124000,2022-10-30 10:00:00,BTC/USDT,20673,20714,20673,20695,0.73434172,15197.2018954
1667120400,2022-10-30 09:00:00,BTC/USDT,20788,20815,20642,20706,2.07000905,42861.6073893
1667116800,2022-10-30 08:00:00,BTC/USDT,20849,20886,20728,20775,0.63297405,13150.035888749999
1667113200,2022-10-30 07:00:00,BTC/USDT,20908,20922,20840,20853,0.97050937,20238.03189261
1667109600,2022-10-30 06:00:00,BTC/USDT,20804,20896,20796,20894,1.09402225,22858.500891500003
1667106000,2022-10-30 05:00:00,BTC/USDT,20749,20801,20749,20792,0.64753140,13463.4728688
1667102400,2022-10-30 04:00:00,BTC/USDT,20776,20777,20744,20747,1.17014387,24276.97487089
1667098800,2022-10-30 03:00:00,BTC/USDT,20773,20799,20771,20771,1.09953133,22838.36525543
1667095200,2022-10-30 02:00:00,BTC/USDT,20781,20791,20750,20759,2.12603279,44134.31468761
1667091600,2022-10-30 01:00:00,BTC/USDT,20710,20774,20702,20774,3.64123081,75642.92884694
1667088000,2022-10-30 00:00:00,BTC/USDT,20812,20827,20708,20708,8.36197254,173159.72735832
1667084400,2022-10-29 23:00:00,BTC/USDT,20758,20816,20750,20814,0.55295967,11509.30257138
1667080800,2022-10-29 22:00:00,BTC/USDT,20844,20864,20715,20750,6.35135434,131790.60255500002
1667077200,2022-10-29 21:00:00,BTC/USDT,20861,20904,20853,20853,3.78304795,78887.89890135
1667073600,2022-10-29 20:00:00,BTC/USDT,20838,20875,20832,20860,5.59549288,116721.9814768
1667070000,2022-10-29 19:00:00,BTC/USDT,20844,20853,20798,20798,7.97013825,165762.9353235
